Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/06/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/07/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/08/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/09/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/10/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/12/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/13/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/14/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/15/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/16/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/17/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/18/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/19/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/21/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/22/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/23/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/24/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/25/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/26/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/27/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/28/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/29/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/30/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/31/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/01/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/02/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/03/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/04/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/05/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/06/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/07/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/08/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/09/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/10/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/12/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/13/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/14/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/15/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/16/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/17/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/18/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/19/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/21/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/22/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/23/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/24/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/25/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/26/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/27/2015,Downloads,2,2,2,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/28/2015,Downloads,2,2,2,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/01/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/02/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/03/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/04/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/05/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/06/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/07/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/08/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/09/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/10/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/12/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/13/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/14/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/15/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/16/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/17/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/18/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/19/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/21/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/22/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/23/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/24/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/25/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/26/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/27/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/28/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/29/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/30/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/31/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/01/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/02/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/03/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/04/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/05/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/06/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/07/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/08/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/09/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/10/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/12/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/13/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/14/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/15/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/16/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/17/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/18/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/19/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/21/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/22/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/23/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/24/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/25/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/26/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/27/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/28/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/29/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/30/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/01/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/02/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/03/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/04/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/05/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/06/2015,Downloads,3,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/07/2015,Downloads,3,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/08/2015,Downloads,3,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/09/2015,Downloads,3,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/10/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/11/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/12/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/13/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/14/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/15/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/16/2015,Downloads,2,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/17/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/18/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/19/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/21/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/22/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/23/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/24/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/25/2015,Downloads,3,3,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/26/2015,Downloads,3,3,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/27/2015,Downloads,3,3,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/28/2015,Downloads,3,3,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/29/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/30/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/31/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/01/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/02/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/03/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/04/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/05/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/06/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/07/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/08/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/09/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/10/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/12/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/13/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/14/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/15/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/16/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/17/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/18/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/19/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/21/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/22/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/23/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/24/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/25/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/26/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/27/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/28/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/29/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/30/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/01/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/02/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/03/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/04/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/05/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/06/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/07/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/08/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/09/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/10/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/12/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/13/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/14/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/15/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/16/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/17/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/18/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/19/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/20/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/21/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/22/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/23/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/24/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/25/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/26/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/27/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/28/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/29/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/30/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/31/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/01/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/02/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/03/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/04/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/05/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/06/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/07/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/08/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/09/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/10/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/11/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/12/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/13/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/14/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/15/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/16/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/17/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/18/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/19/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/20/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/21/2015,Downloads,2,2,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/22/2015,Downloads,1,1,1,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/23/2015,Downloads,1,1,1,0
